dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
Industry,Gemini,Model-Internal vs No Refinement,Precision,300,0.5892,,0.3244,0.0038,0.2648,2.29943e-26,1.37976e-25,True,0.7083,medium
Industry,Gemini,Model-Internal vs No Refinement,Recall,300,0.8036,,0.4404,0.0013,0.3632,2.29903e-26,1.37976e-25,True,0.6637,medium
Industry,Gemini,Model-Internal vs No Refinement,F1,300,0.6302,,0.3555,0.0041,0.2747,2.29961e-26,1.37976e-25,True,0.6868,medium
Industry,Gemini,Element Alignment vs No Refinement,Precision,300,0.5947,,0.3244,0.0038,0.2703,8.76786e-21,3.94554e-20,True,0.7110,large
Industry,Gemini,Element Alignment vs No Refinement,Recall,300,0.7294,,0.4404,0.0013,0.2890,6.24574e-17,1.60605e-16,True,0.6005,small
Industry,Gemini,Element Alignment vs No Refinement,F1,300,0.6098,,0.3555,0.0041,0.2543,2.25222e-18,8.10801e-18,True,0.6726,medium
Industry,Gemini,Direct LLM vs No Refinement,Precision,300,0.5540,,0.3244,0.0038,0.2296,5.09303e-15,1.01861e-14,True,0.6845,medium
Industry,Gemini,Direct LLM vs No Refinement,Recall,300,0.7245,,0.4404,0.0013,0.2841,6.78228e-15,1.22081e-14,True,0.6042,small
Industry,Gemini,Direct LLM vs No Refinement,F1,300,0.5781,,0.3555,0.0041,0.2225,3.80949e-14,6.23372e-14,True,0.6524,medium
Industry,Gemini,IntentTrace vs Model-Internal,Precision,300,0.7073,,0.5892,,0.1181,8.46423e-12,1.08826e-11,True,0.6471,medium
Industry,Gemini,IntentTrace vs Model-Internal,Recall,300,0.8188,,0.8036,,0.0152,0.00677727,0.00677727,True,0.5964,small
Industry,Gemini,IntentTrace vs Model-Internal,F1,300,0.7152,,0.6302,,0.0851,1.0884e-09,1.15243e-09,True,0.6227,small
Industry,Gemini,IntentTrace vs Element Alignment,Precision,300,0.7073,,0.5947,,0.1125,1.62731e-11,1.83072e-11,True,0.6419,medium
Industry,Gemini,IntentTrace vs Element Alignment,Recall,300,0.8188,,0.7294,,0.0893,1.29539e-11,1.55447e-11,True,0.7060,medium
Industry,Gemini,IntentTrace vs Element Alignment,F1,300,0.7152,,0.6098,,0.1054,3.50244e-12,4.84954e-12,True,0.6470,medium
Industry,Gemini,IntentTrace vs Direct LLM,Precision,300,0.7073,,0.5540,,0.1533,1.71698e-15,3.86321e-15,True,0.6870,medium
Industry,Gemini,IntentTrace vs Direct LLM,Recall,300,0.8188,,0.7245,,0.0943,1.95107e-12,2.92661e-12,True,0.7021,medium
Industry,Gemini,IntentTrace vs Direct LLM,F1,300,0.7152,,0.5781,,0.1372,5.28211e-17,1.58463e-16,True,0.6815,medium
Industry,Qwen,Model-Internal vs No Refinement,Precision,1500,0.4035,0.0131,0.2883,0.0031,0.1152,1.6369e-64,4.9122e-64,True,0.6095,small
Industry,Qwen,Model-Internal vs No Refinement,Recall,1500,0.6653,0.0215,0.4568,0.0027,0.2085,1.62677e-64,4.9122e-64,True,0.5837,small
