init(i1)
action(n1, "Start the SSP process")
action(n2, "Invoice is ready for verification?")
branch(b1, XOR)
action(n3, "Check Invoice completeness")
action(n4, "Check SLA")
action(n5, "Check Invoice compliance")
action(n6, "Invoice completeness confirmed?")
branch(b2, XOR)
action(n7, "Invoice completeness confirmed?")
branch(b3, XOR)
action(n8, "Allocate batched invoices to Data Entry Officer by 9 am next working day")
action(n9, "Process invoice batch")
action(n10, "All invoices processed?")
branch(b4, XOR)
action(n11, "Process invoice batch")
action(n12, "Move batch to outbox")
action(n13, "Clear Data Entry Officer outbox every hour")
action(n14, "Outbox completely cleared?")
branch(b5, XOR)
action(n15, "Clear Data Entry Officer outbox every hour")
action(n16, "You have completed this procedure")
end(e1)
action(n17, "Invoice ready for verification?")
branch(b6, XOR)
action(n18, "End process due to invoice not ready")
end(e2)
action(n19, "End process due to invoice completeness not confirmed")
end(e3)
action(n20, "All invoices processed?")
branch(b7, XOR)
action(n21, "Process invoice batch")
action(n22, "Move batch to outbox")
action(n23, "Clear Data Entry Officer outbox every hour")
action(n24, "Outbox completely cleared?")
branch(b8, XOR)
action(n25, "Clear Data Entry Officer outbox every hour")
action(n26, "You have completed this procedure")
end(e4)
action(n27, "Allocate batched invoices to Data Entry Officer by 9 am next working day")
action(n28, "Process invoice batch")
action(n29, "All invoices processed?")
branch(b9, XOR)
action(n30, "Process invoice batch")
action(n31, "Move batch to outbox")
action(n32, "Clear Data Entry Officer outbox every hour")
action(n33, "Outbox completely cleared?")
branch(b10, XOR)
action(n34, "Clear Data Entry Officer outbox every hour")
action(n35, "You have completed this procedure")
end(e5)
action(n36, "Invoice completeness confirmed?")
branch(b11, XOR)
action(n37, "End process due to invoice completeness not confirmed")
end(e6)
action(n38, "Invoice ready for verification?")
branch(b12, XOR)
action(n39, "Check Invoice completeness")
action(n40, "Check SLA")
action(n41, "Check Invoice compliance")
action(n42, "Invoice completeness confirmed?")
branch(b13, XOR)
action(n43, "End process due to invoice completeness not confirmed")
end(e7)
action(n44, "Invoice completeness confirmed?")
branch(b14, XOR)
action(n45, "All invoices processed?")
branch(b15, XOR)
action(n46, "Move batch to outbox")
action(n47, "Clear Data Entry Officer outbox every hour")
action(n48, "Outbox completely cleared?")
branch(b16, XOR)
action(n49, "Clear Data Entry Officer outbox every hour")
action(n50, "You have completed this procedure")
end(e8)
action(n51, "All invoices processed?")
branch(b17, XOR)
action(n52, "Move batch to outbox")
action(n53, "Clear Data Entry Officer outbox every hour")
action(n54, "Outbox completely cleared?")
branch(b18, XOR)
action(n55, "Clear Data Entry Officer outbox every hour")
action(n56, "You have completed this procedure")
end(e9)
action(n57, "Invoice completeness confirmed?")
branch(b19, XOR)
action(n58, "End process due to invoice completeness not confirmed")
end(e10)
action(n59, "Invoice completeness confirmed?")
branch(b20, XOR)
action(n60, "Invoice completeness confirmed?")
branch(b21, XOR)
action(n61, "Invoice completeness confirmed?")
branch(b22, XOR)
action(n62, "Invoice completeness confirmed?")
branch(b23, XOR)
action(n63, "Invoice completeness confirmed?")
branch(b24, XOR)
action(n64, "Invoice completeness confirmed?")
branch(b25, XOR)
action(n65, "Invoice completeness confirmed?")
branch(b26, XOR)
action(n66, "Invoice completeness confirmed?")
branch(b27, XOR)
action(n67, "Invoice completeness confirmed?")
branch(b28, XOR)
action(n68, "Invoice completeness confirmed?")
branch(b29, XOR)
action(n69, "Invoice completeness confirmed?")
branch(b30, XOR)
action(n70, "Invoice completeness confirmed?")
branch(b31, XOR)
action(n71, "Invoice completeness confirmed?")
branch(b32, XOR)
action(n72, "Invoice completeness confirmed?")
branch(b33, XOR)
action(n73, "Invoice completeness confirmed?")
branch(b34, XOR)
action(n74, "Invoice completeness confirmed?")
branch(b35, XOR)
action(n75, "Invoice completeness confirmed?")
branch(b36, XOR)
action(n76, "Invoice completeness confirmed?")
branch(b37, XOR)
action(n77, "Invoice completeness confirmed?")
branch(b38, XOR)
action(n78, "Invoice completeness confirmed?")
branch(b39, XOR)
action(n79, "Invoice completeness confirmed?")
branch(b40, XOR)
action(n80, "Invoice completeness confirmed?")
branch(b41, XOR)
action(n81, "Invoice completeness confirmed?")
branch(b42, XOR)
action(n82, "Invoice completeness confirmed?")
branch(b43, XOR)
action(n83, "Invoice completeness confirmed?")
branch(b44, XOR)
action(n84, "Invoice completeness confirmed?")
branch(b45, XOR)
action(n85, "Invoice completeness confirmed?")
branch(b46, XOR)
action(n86, "Invoice completeness confirmed?")
branch(b47, XOR)
action(n87, "Invoice completeness confirmed?")
branch(b48, XOR)
action(n88, "Invoice completeness confirmed?")
branch(b49, XOR)
action(n89, "Invoice completeness confirmed?")
branch(b50, XOR)
action(n90, "Invoice completeness confirmed?")
branch(b51, XOR)
action(n91, "Invoice completeness confirmed?")
branch(b52, XOR)
action(n92, "Invoice completeness confirmed?")
branch(b53, XOR)
action(n93, "Invoice completeness confirmed?")
branch(b54, XOR)
action(n94, "Invoice completeness confirmed?")
branch(b55, XOR)
action(n95, "Invoice completeness confirmed?")
branch(b56, XOR)
branch(b57, AND)
branch(b58, AND)
defines(v1, "Invoice is ready for verification?", {})
defines(v2, "Invoice completeness confirmed?", {})
defines(v3, "Invoice completeness confirmed?", {})
defines(v4, "All invoices processed?", {})
defines(v5, "Outbox completely cleared?", {})
defines(v6, "Invoice ready for verification?", {})
defines(v7, "All invoices processed?", {})
defines(v8, "Outbox completely cleared?", {})
defines(v9, "All invoices processed?", {})
defines(v10, "Outbox completely cleared?", {})
defines(v11, "Invoice completeness confirmed?", {})
defines(v12, "Invoice ready for verification?", {})
defines(v13, "Invoice completeness confirmed?", {})
defines(v14, "Invoice completeness confirmed?", {})
defines(v15, "All invoices processed?", {})
defines(v16, "Outbox completely cleared?", {})
defines(v17, "All invoices processed?", {})
defines(v18, "Outbox completely cleared?", {})
defines(v19, "Invoice completeness confirmed?", {})
defines(v20, "Invoice completeness confirmed?", {})
defines(v21, "Invoice completeness confirmed?", {})
defines(v22, "Invoice completeness confirmed?", {})
defines(v23, "Invoice completeness confirmed?", {})
defines(v24, "Invoice completeness confirmed?", {})
defines(v25, "Invoice completeness confirmed?", {})
defines(v26, "Invoice completeness confirmed?", {})
defines(v27, "Invoice completeness confirmed?", {})
defines(v28, "Invoice completeness confirmed?", {})
defines(v29, "Invoice completeness confirmed?", {})
defines(v30, "Invoice completeness confirmed?", {})
defines(v31, "Invoice completeness confirmed?", {})
defines(v32, "Invoice completeness confirmed?", {})
defines(v33, "Invoice completeness confirmed?", {})
defines(v34, "Invoice completeness confirmed?", {})
defines(v35, "Invoice completeness confirmed?", {})
defines(v36, "Invoice completeness confirmed?", {})
defines(v37, "Invoice completeness confirmed?", {})
defines(v38, "Invoice completeness confirmed?", {})
defines(v39, "Invoice completeness confirmed?", {})
defines(v40, "Invoice completeness confirmed?", {})
defines(v41, "Invoice completeness confirmed?", {})
defines(v42, "Invoice completeness confirmed?", {})
