init(i1)
action(n1, "start course registration process")
action(n2, "is an exception needed")
branch(b1, XOR)
action(n3, "make request for the exception")
action(n4, "continue process without exception")
action(n5, "is exception approved")
branch(b2, XOR)
action(n6, "do course enrollment")
action(n7, "do seminar group enrollment")
action(n8, "start homework assignment")
action(n9, "turn in homework assignment")
action(n10, "evaluate homework")
action(n11, "was it the last homework")
branch(b3, XOR)
action(n12, "give another homework assignment")
action(n13, "continue after last homework")
action(n14, "do accreditation granting")
action(n15, "announce date of exam")
action(n16, "merge accreditation and announce exam date")
action(n17, "sign up for exam")
action(n18, "attend exam")
action(n19, "evaluate exam")
action(n20, "did pass exam")
branch(b4, XOR)
action(n21, "course considered passed continue process")
action(n22, "sign up for exam again")
action(n23, "go to attend exam after re signing")
action(n24, "attend exam after re signing")
action(n25, "evaluate exam after re signing")
action(n26, "did pass exam after re signing")
branch(b5, XOR)
action(n27, "course considered passed continue process after re signing")
action(n28, "sign up for exam again after re signing")
action(n29, "go to attend exam after re signing again")
action(n30, "attend exam again after re signing")
action(n31, "evaluate exam again after re signing")
action(n32, "did pass exam again after re signing")
branch(b6, XOR)
action(n33, "course considered passed continue process again after re signing")
action(n34, "sign up for exam again again after re signing")
action(n35, "go to attend exam after re signing again again")
action(n36, "attend exam again again after re signing")
action(n37, "evaluate exam again again after re signing")
action(n38, "did pass exam again again after re signing")
branch(b7, XOR)
action(n39, "course considered passed continue process again again after re signing")
action(n40, "sign up for exam again again again after re signing")
action(n41, "go to attend exam after re signing again again again")
action(n42, "attend exam again again again after re signing")
action(n43, "evaluate exam again again again after re signing")
action(n44, "did pass exam again again again after re signing")
branch(b8, XOR)
action(n45, "course considered passed continue process again again again after re signing")
action(n46, "sign up for exam again again again again after re signing")
action(n47, "go to attend exam after re signing again again again again")
action(n48, "attend exam again again again again after re signing")
action(n49, "evaluate exam again again again again after re signing")
action(n50, "did pass exam again again again again after re signing")
branch(b9, XOR)
action(n51, "course considered passed continue process again again again again after re signing")
action(n52, "sign up for exam again again again again again after re signing")
action(n53, "loop exam retry")
branch(b10, XOR)
action(n54, "go to attend exam from loop retry")
action(n55, "loop exam retry continues")
action(n56, "terminate exam retries manually")
branch(b11, XOR)
action(n57, "contact support for manual resolution")
action(n58, "end process manual resolution")
end(e1)
action(n59, "loop retry end continue signing up")
action(n60, "sign up for exam after manual retry")
action(n61, "go to attend exam after manual retry")
action(n62, "attend exam after manual retry")
action(n63, "evaluate exam after manual retry")
action(n64, "did pass exam after manual retry")
branch(b12, XOR)
action(n65, "course considered passed continue process after manual retry")
action(n66, "sign up for exam again after manual retry")
action(n67, "go to attend exam after manual retry again")
action(n68, "attend exam after manual retry again")
action(n69, "evaluate exam after manual retry again")
action(n70, "did pass exam after manual retry again")
branch(b13, XOR)
action(n71, "course considered passed continue process after manual retry again")
action(n72, "sign up for exam again again after manual retry")
action(n73, "go to attend exam after manual retry again again")
action(n74, "attend exam after manual retry again again")
action(n75, "evaluate exam after manual retry again again")
action(n76, "did pass exam after manual retry again again")
branch(b14, XOR)
action(n77, "course considered passed continue process after manual retry again again")
action(n78, "sign up for exam again again again after manual retry")
action(n79, "go to attend exam after manual retry again again again")
action(n80, "attend exam after manual retry again again again")
action(n81, "evaluate exam after manual retry again again again")
action(n82, "did pass exam after manual retry again again again")
branch(b15, XOR)
action(n83, "course considered passed continue process after manual retry again again again")
action(n84, "sign up for exam again again again again after manual retry")
action(n85, "go to attend exam after manual retry again again again again")
action(n86, "attend exam after manual retry again again again again")
action(n87, "evaluate exam after manual retry again again again again")
action(n88, "did pass exam after manual retry again again again again")
branch(b16, XOR)
action(n89, "course considered passed continue process after manual retry again again again again")
action(n90, "sign up for exam again again again again again after manual retry")
action(n91, "loop exam retry further")
branch(b17, XOR)
action(n92, "go to attend exam from loop retry further")
action(n93, "terminate exam retries further")
branch(b18, XOR)
action(n94, "contact support for further manual resolution")
action(n95, "end process further manual resolution")
end(e2)
action(n96, "loop retry further end continue signing up")
action(n97, "sign up for exam after further manual retry")
action(n98, "go to attend exam after further manual retry")
action(n99, "attend exam after further manual retry")
action(n100, "evaluate exam after further manual retry")
action(n101, "did pass exam after further manual retry")
branch(b19, XOR)
action(n102, "course considered passed continue process after further manual retry")
action(n103, "sign up for exam again after further manual retry")
action(n104, "go to attend exam after further manual retry again")
action(n105, "attend exam after further manual retry again")
action(n106, "evaluate exam after further manual retry again")
action(n107, "did pass exam after further manual retry again")
branch(b20, XOR)
action(n108, "course considered passed continue process after further manual retry again")
action(n109, "sign up for exam again again after further manual retry")
action(n110, "go to attend exam after further manual retry again again")
action(n111, "attend exam after further manual retry again again")
action(n112, "evaluate exam after further manual retry again again")
action(n113, "did pass exam after further manual retry again again")
branch(b21, XOR)
action(n114, "course considered passed continue process after further manual retry again again")
