init(i1)
action(n1, "Start Gross pathology request")
action(n2, "Proceed with Registration gross pathology request")
action(n3, "Create barcode scan at start of Registration gross pathology request")
action(n4, "Assign container to gross pathology request")
action(n5, "Proceed with Specimen description")
action(n6, "Pay attention to scan start during Specimen description")
action(n7, "Pay attention to scan end during Specimen description")
action(n8, "Pay attention to scan start for Registration gross pathology request continuation")
action(n9, "Proceed with Macroscopic description writing")
action(n10, "Proceed with Tissue processing")
action(n11, "Check if Digitalization is required after Tissue processing")
branch(b1, XOR)
action(n12, "Continue process if no Digitalization required after Tissue processing")
action(n13, "Proceed with Digitalization after Tissue processing")
action(n14, "Check if Digitalization is required next")
branch(b2, XOR)
action(n15, "Continue process if no Digitalization required next")
action(n16, "Proceed with Digitalization next")
action(n17, "Assign cases to pathologist")
action(n18, "Perform Microscopic examination and diagnosis")
action(n19, "Write pathology report")
action(n20, "Confirm pathology report")
action(n21, "Deliver pathology report")
action(n22, "Perform post-report processing")
action(n23, "Close pathology procedure")
action(n24, "Deliver pathology report and complete post-report processing")
action(n25, "You have completed this procedure")
end(e1)
converge(c1)
converge(c2)
branch(b3, AND)
defines(v1, "Check if Digitalization is required after Tissue processing", {})
defines(v2, "Check if Digitalization is required next", {})
actor(a_default, "Default", [i1, n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, b1, n12, n13, n14, b2, n15, n16, n17, n18, n19, n20, n21, n22, n23, n24, n25, e1, c1, c2, b3])

precedence(i1, n1)
precedence(n11, b1)
precedence(n14, b2)
precedence(n25, e1)
precedence(c1, n14)
precedence(c2, n17)
precedence(n8, b3)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(n4, n5)
precedence(n5, n6)
precedence(n6, n7)
precedence(n7, n8)
precedence(b3, n9)
precedence(b3, n10)
precedence(n10, n11)
precedence(b1, n12)
precedence(b1, n13)
precedence(n9, c1)
precedence(n12, c1)
precedence(n13, c1)
precedence(b2, n15)
precedence(b2, n16)
precedence(n15, c2)
precedence(n16, c2)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(n20, n21)
precedence(n21, n22)
precedence(n22, n23)
precedence(n23, n24)
precedence(n24, n25)
