dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
Industry,Gemini,Model-Internal vs No Refinement,Precision,20,0.5723,,0.3200,,0.2522,1.90735e-06,1.37329e-05,True,0.7825,large
Industry,Gemini,Model-Internal vs No Refinement,Recall,20,0.8027,,0.4334,,0.3693,3.8147e-06,1.37329e-05,True,0.8925,large
Industry,Gemini,Model-Internal vs No Refinement,F1,20,0.6160,,0.3517,,0.2643,3.8147e-06,1.37329e-05,True,0.7950,large
Industry,Gemini,Element Alignment vs No Refinement,Precision,20,0.5844,,0.3200,,0.2643,3.8147e-06,1.37329e-05,True,0.8050,large
Industry,Gemini,Element Alignment vs No Refinement,Recall,20,0.7302,,0.4334,,0.2968,8.2016e-05,0.000134208,True,0.8375,large
Industry,Gemini,Element Alignment vs No Refinement,F1,20,0.6022,,0.3517,,0.2505,9.53674e-06,2.45231e-05,True,0.7900,large
Industry,Gemini,Direct LLM vs No Refinement,Precision,20,0.5413,,0.3200,,0.2212,0.000482559,0.000579071,True,0.7550,large
Industry,Gemini,Direct LLM vs No Refinement,Recall,20,0.7253,,0.4334,,0.2919,0.000261307,0.00039196,True,0.8350,large
Industry,Gemini,Direct LLM vs No Refinement,F1,20,0.5669,,0.3517,,0.2152,0.000394821,0.000546675,True,0.7575,large
Industry,Gemini,IntentTrace vs Model-Internal,Precision,20,0.6964,,0.5723,,0.1241,1.90735e-05,3.43323e-05,True,0.6950,medium
Industry,Gemini,IntentTrace vs Model-Internal,Recall,20,0.8111,,0.8027,,0.0084,0.674223,0.674223,False,0.5825,small
Industry,Gemini,IntentTrace vs Model-Internal,F1,20,0.7050,,0.6160,,0.0890,0.000482559,0.000579071,True,0.6650,medium
Industry,Gemini,IntentTrace vs Element Alignment,Precision,20,0.6964,,0.5844,,0.1120,3.8147e-06,1.37329e-05,True,0.6875,medium
Industry,Gemini,IntentTrace vs Element Alignment,Recall,20,0.8111,,0.7302,,0.0809,0.0153122,0.0162129,True,0.7375,large
Industry,Gemini,IntentTrace vs Element Alignment,F1,20,0.7050,,0.6022,,0.1028,1.90735e-05,3.43323e-05,True,0.6950,medium
Industry,Gemini,IntentTrace vs Direct LLM,Precision,20,0.6964,,0.5413,,0.1551,5.72205e-06,1.71661e-05,True,0.7600,large
Industry,Gemini,IntentTrace vs Direct LLM,Recall,20,0.8111,,0.7253,,0.0858,0.0106888,0.0120249,True,0.7450,large
Industry,Gemini,IntentTrace vs Direct LLM,F1,20,0.7050,,0.5669,,0.1381,1.33514e-05,3.00407e-05,True,0.7450,large
Industry,Qwen,Model-Internal vs No Refinement,Precision,20,0.3969,,0.2858,,0.1111,0.000131834,0.000158201,True,0.6363,small
Industry,Qwen,Model-Internal vs No Refinement,Recall,20,0.6494,,0.4478,,0.2016,0.000131834,0.000158201,True,0.7188,large
Industry,Qwen,Model-Internal vs No Refinement,F1,20,0.4508,,0.3208,,0.1300,0.000131834,0.000158201,True,0.6512,medium
Industry,Qwen,Element Alignment vs No Refinement,Precision,20,0.4255,,0.2858,,0.1397,1.90735e-06,4.90461e-06,True,0.6800,medium
Industry,Qwen,Element Alignment vs No Refinement,Recall,20,0.6487,,0.4478,,0.2010,1.90735e-05,3.12112e-05,True,0.7250,large
Industry,Qwen,Element Alignment vs No Refinement,F1,20,0.4729,,0.3208,,0.1521,5.72205e-06,1.14441e-05,True,0.6725,medium
Industry,Qwen,Direct LLM vs No Refinement,Precision,20,0.4105,,0.2858,,0.1247,0.000322342,0.000362635,True,0.6675,medium
Industry,Qwen,Direct LLM vs No Refinement,Recall,20,0.5651,,0.4478,,0.1173,0.0171814,0.0171814,True,0.6450,medium
Industry,Qwen,Direct LLM vs No Refinement,F1,20,0.4385,,0.3208,,0.1177,0.00143242,0.00151668,True,0.6700,medium
Industry,Qwen,IntentTrace vs Model-Internal,Precision,20,0.5483,,0.3969,,0.1514,5.72205e-06,1.14441e-05,True,0.6625,medium
Industry,Qwen,IntentTrace vs Model-Internal,Recall,20,0.8009,,0.6494,,0.1516,3.62396e-05,5.43594e-05,True,0.7525,large
Industry,Qwen,IntentTrace vs Model-Internal,F1,20,0.6035,,0.4508,,0.1527,9.53674e-06,1.71661e-05,True,0.6900,medium
Industry,Qwen,IntentTrace vs Element Alignment,Precision,20,0.5483,,0.4255,,0.1229,1.90735e-06,4.90461e-06,True,0.6425,medium
Industry,Qwen,IntentTrace vs Element Alignment,Recall,20,0.8009,,0.6487,,0.1522,1.90735e-06,4.90461e-06,True,0.7625,large
Industry,Qwen,IntentTrace vs Element Alignment,F1,20,0.6035,,0.4729,,0.1305,1.90735e-06,4.90461e-06,True,0.6575,medium
Industry,Qwen,IntentTrace vs Direct LLM,Precision,20,0.5483,,0.4105,,0.1379,1.90735e-06,4.90461e-06,True,0.6675,medium
Industry,Qwen,IntentTrace vs Direct LLM,Recall,20,0.8009,,0.5651,,0.2359,1.90735e-06,4.90461e-06,True,0.9025,large
Industry,Qwen,IntentTrace vs Direct LLM,F1,20,0.6035,,0.4385,,0.1650,1.90735e-06,4.90461e-06,True,0.7200,large
PAGED,Gemini,Model-Internal vs No Refinement,Precision,175,0.7228,,0.4251,,0.2977,1.23244e-21,3.16912e-21,True,0.7060,medium
PAGED,Gemini,Model-Internal vs No Refinement,Recall,175,0.8269,,0.4784,,0.3485,2.82786e-21,6.36268e-21,True,0.7162,large
PAGED,Gemini,Model-Internal vs No Refinement,F1,175,0.7404,,0.4388,,0.3016,6.51458e-22,2.34525e-21,True,0.7064,medium
PAGED,Gemini,Element Alignment vs No Refinement,Precision,175,0.7572,,0.4251,,0.3322,1.05041e-22,5.00658e-22,True,0.7306,large
PAGED,Gemini,Element Alignment vs No Refinement,Recall,175,0.8582,,0.4784,,0.3798,1.18081e-21,3.16912e-21,True,0.7334,large
PAGED,Gemini,Element Alignment vs No Refinement,F1,175,0.7739,,0.4388,,0.3351,1.09527e-22,5.00658e-22,True,0.7314,large
PAGED,Gemini,Direct LLM vs No Refinement,Precision,175,0.7944,,0.4251,,0.3693,3.96785e-23,5.00658e-22,True,0.7503,large
PAGED,Gemini,Direct LLM vs No Refinement,Recall,175,0.8185,,0.4784,,0.3401,6.87378e-21,1.37476e-20,True,0.7071,medium
PAGED,Gemini,Direct LLM vs No Refinement,F1,175,0.7782,,0.4388,,0.3394,1.11257e-22,5.00658e-22,True,0.7308,large
PAGED,Gemini,IntentTrace vs Model-Internal,Precision,175,0.8595,,0.7228,,0.1367,7.07933e-13,1.27428e-12,True,0.6741,medium
PAGED,Gemini,IntentTrace vs Model-Internal,Recall,175,0.8548,,0.8269,,0.0279,0.051449,0.0544754,False,0.5530,negligible
PAGED,Gemini,IntentTrace vs Model-Internal,F1,175,0.8358,,0.7404,,0.0954,7.03308e-10,1.05496e-09,True,0.6337,small
PAGED,Gemini,IntentTrace vs Element Alignment,Precision,175,0.8595,,0.7572,,0.1023,2.26036e-10,3.69877e-10,True,0.6463,medium
PAGED,Gemini,IntentTrace vs Element Alignment,Recall,175,0.8548,,0.8582,,-0.0034,0.991429,0.991429,False,0.5353,negligible
PAGED,Gemini,IntentTrace vs Element Alignment,F1,175,0.8358,,0.7739,,0.0619,6.74079e-06,8.08895e-06,True,0.6022,small
PAGED,Gemini,IntentTrace vs Direct LLM,Precision,175,0.8595,,0.7944,,0.0651,1.1987e-07,1.54119e-07,True,0.6100,small
PAGED,Gemini,IntentTrace vs Direct LLM,Recall,175,0.8548,,0.8185,,0.0363,0.00108078,0.00121588,True,0.5910,small
PAGED,Gemini,IntentTrace vs Direct LLM,F1,175,0.8358,,0.7782,,0.0576,3.90592e-08,5.40819e-08,True,0.6029,small
PAGED,Qwen,Model-Internal vs No Refinement,Precision,175,0.6188,,0.3942,,0.2246,5.986e-20,1.79588e-19,True,0.6781,medium
PAGED,Qwen,Model-Internal vs No Refinement,Recall,175,0.7882,,0.4846,,0.3036,5.986e-20,1.79588e-19,True,0.6804,medium
PAGED,Qwen,Model-Internal vs No Refinement,F1,175,0.6617,,0.4203,,0.2413,5.98628e-20,1.79588e-19,True,0.6785,medium
PAGED,Qwen,Element Alignment vs No Refinement,Precision,175,0.6391,,0.3942,,0.2449,1.8685e-23,3.3633e-22,True,0.6981,medium
PAGED,Qwen,Element Alignment vs No Refinement,Recall,175,0.7684,,0.4846,,0.2838,5.04117e-19,1.13426e-18,True,0.6682,medium
PAGED,Qwen,Element Alignment vs No Refinement,F1,175,0.6690,,0.4203,,0.2486,1.15908e-22,1.04317e-21,True,0.6917,medium
PAGED,Qwen,Direct LLM vs No Refinement,Precision,175,0.6447,,0.3942,,0.2505,3.87485e-21,2.32491e-20,True,0.6989,medium
PAGED,Qwen,Direct LLM vs No Refinement,Recall,175,0.7076,,0.4846,,0.2230,1.90643e-14,3.81286e-14,True,0.6292,small
PAGED,Qwen,Direct LLM vs No Refinement,F1,175,0.6546,,0.4203,,0.2343,1.29439e-19,3.32843e-19,True,0.6817,medium
PAGED,Qwen,IntentTrace vs Model-Internal,Precision,175,0.7325,,0.6188,,0.1138,5.1565e-13,9.2817e-13,True,0.6171,small
PAGED,Qwen,IntentTrace vs Model-Internal,Recall,175,0.8118,,0.7882,,0.0237,0.0862398,0.0862398,False,0.5140,negligible
PAGED,Qwen,IntentTrace vs Model-Internal,F1,175,0.7447,,0.6617,,0.0830,2.66067e-10,3.42086e-10,True,0.5927,small
PAGED,Qwen,IntentTrace vs Element Alignment,Precision,175,0.7325,,0.6391,,0.0935,2.45775e-12,4.02177e-12,True,0.5806,small
PAGED,Qwen,IntentTrace vs Element Alignment,Recall,175,0.8118,,0.7684,,0.0434,0.000192423,0.000203742,True,0.5420,negligible
PAGED,Qwen,IntentTrace vs Element Alignment,F1,175,0.7447,,0.6690,,0.0757,7.7191e-10,8.68399e-10,True,0.5661,small
PAGED,Qwen,IntentTrace vs Direct LLM,Precision,175,0.7325,,0.6447,,0.0878,6.0732e-10,7.28784e-10,True,0.5635,small
PAGED,Qwen,IntentTrace vs Direct LLM,Recall,175,0.8118,,0.7076,,0.1042,6.09898e-12,9.14848e-12,True,0.6064,small
PAGED,Qwen,IntentTrace vs Direct LLM,F1,175,0.7447,,0.6546,,0.0901,2.58363e-11,3.57733e-11,True,0.5756,small
