dataset,model,approach,stage,diagrams,calls,runs,input,output,reasoning,total,usd
Industry,Gemini,Model-Internal,Diagnosis,300,0,1,0,0,0,0,0.0000
Industry,Gemini,Model-Internal,Refinement,157,157,1,4647,1671,7760,14077,0.1194
Industry,Gemini,Model-Internal,Combined,157,157,1,4647,1671,7760,14077,0.1194
Industry,Gemini,Element Alignment,Diagnosis,300,300,1,7816,2359,2797,12972,0.0775
Industry,Gemini,Element Alignment,Refinement,290,290,1,5036,1472,7990,14498,0.1208
Industry,Gemini,Element Alignment,Combined,290,590,1,12852,3830,10787,27470,0.1983
Industry,Gemini,Direct LLM,Diagnosis,300,300,1,3336,282,4727,8345,0.0668
Industry,Gemini,Direct LLM,Refinement,298,298,1,4442,1537,8565,14544,0.1268
Industry,Gemini,Direct LLM,Combined,298,598,1,7778,1819,13292,22889,0.1935
Industry,Gemini,IntentTrace,Diagnosis,300,599,"1,2,3,4,5",10784,3215,5256,19255,0.1232
Industry,Gemini,IntentTrace,Refinement,300,300,"2,3,4,5",12365,1477,4597,18438,0.0976
Industry,Gemini,IntentTrace,Combined,300,899,"2,3,4,5",23149,4692,9853,37693,0.2208
Industry,Qwen,Model-Internal,Diagnosis,300,0,"1,2,3,4,5",0,0,0,0,0.0000
Industry,Qwen,Model-Internal,Refinement,157,157,"1,2,3,4,5",4486,1676,6921,13083,
Industry,Qwen,Model-Internal,Combined,157,157,"1,2,3,4,5",4486,1676,6921,13083,
Industry,Qwen,Element Alignment,Diagnosis,300,300,"1,2,3,4,5",7702,1802,9032,18536,
Industry,Qwen,Element Alignment,Refinement,259,259,"1,2,3,4,5",4890,1433,7595,13918,
Industry,Qwen,Element Alignment,Combined,259,559,"1,2,3,4,5",12592,3235,16628,32454,
Industry,Qwen,Direct LLM,Diagnosis,300,300,"1,2,3,4,5",3201,321,7341,10863,
Industry,Qwen,Direct LLM,Refinement,283,283,"1,2,3,4,5",4340,1297,8628,14264,
Industry,Qwen,Direct LLM,Combined,283,583,"1,2,3,4,5",7541,1617,15969,25127,
Industry,Qwen,IntentTrace,Diagnosis,300,599,"1,2,3,4,5",10713,2100,15920,28733,
Industry,Qwen,IntentTrace,Refinement,297,297,"1,2,3,4,5",10342,1357,8522,20221,
Industry,Qwen,IntentTrace,Combined,297,896,"1,2,3,4,5",21055,3457,24442,48954,
PAGED,Gemini,Model-Internal,Diagnosis,400,0,1,0,0,0,0,0.0000
PAGED,Gemini,Model-Internal,Refinement,203,203,1,2779,761,5080,8619,0.0727
PAGED,Gemini,Model-Internal,Combined,203,203,1,2779,761,5080,8619,0.0727
PAGED,Gemini,Element Alignment,Diagnosis,400,400,1,5477,978,1725,8181,0.0434
PAGED,Gemini,Element Alignment,Refinement,279,279,1,2991,704,6491,10186,0.0890
PAGED,Gemini,Element Alignment,Combined,279,679,1,8469,1682,8216,18367,0.1324
PAGED,Gemini,Direct LLM,Diagnosis,400,400,1,1757,230,2829,4817,0.0402
PAGED,Gemini,Direct LLM,Refinement,392,392,1,2734,529,6330,9593,0.0844
PAGED,Gemini,Direct LLM,Combined,392,792,1,4491,759,9159,14409,0.1247
PAGED,Gemini,IntentTrace,Diagnosis,400,799,"1,2,3,4,5",7466,1188,3045,11699,0.0657
PAGED,Gemini,IntentTrace,Refinement,316,316,"2,3,4,5",5119,629,3794,9542,0.0633
PAGED,Gemini,IntentTrace,Combined,316,1115,"2,3,4,5",12585,1817,6839,21241,0.1290
PAGED,Qwen,Model-Internal,Diagnosis,400,0,"1,2,3,4,5",0,0,0,0,0.0000
PAGED,Qwen,Model-Internal,Refinement,203,203,"1,2,3,4,5",2689,718,5271,8678,
PAGED,Qwen,Model-Internal,Combined,203,203,"1,2,3,4,5",2689,718,5271,8678,
PAGED,Qwen,Element Alignment,Diagnosis,400,400,"1,2,3,4,5",5405,719,5536,11660,
PAGED,Qwen,Element Alignment,Refinement,283,283,"1,2,3,4,5",2828,614,5504,8947,
PAGED,Qwen,Element Alignment,Combined,283,683,"1,2,3,4,5",8233,1334,11040,20606,
PAGED,Qwen,Direct LLM,Diagnosis,400,400,"1,2,3,4,5",1685,254,5121,7060,
PAGED,Qwen,Direct LLM,Refinement,391,391,"1,2,3,4,5",2676,482,6147,9305,
PAGED,Qwen,Direct LLM,Combined,391,791,"1,2,3,4,5",4361,736,11268,16364,
PAGED,Qwen,IntentTrace,Diagnosis,400,799,"1,2,3,4,5",7369,844,10609,18821,
PAGED,Qwen,IntentTrace,Refinement,359,359,"1,2,3,4,5",4504,539,6154,11196,
PAGED,Qwen,IntentTrace,Combined,359,1158,"1,2,3,4,5",11873,1382,16762,30017,
